batch,field,css_name,value_type,status,standards_status,availability,test_case
layout-ui,breakBefore,break-before,CssValue.BreakBetween.t,implemented,standards-track,partial,avoid-page
layout-ui,breakAfter,break-after,CssValue.BreakBetween.t,implemented,standards-track,partial,column
layout-ui,breakInside,break-inside,CssValue.BreakInside.t,implemented,standards-track,partial,avoid-column
layout-ui,orphans,orphans,int,implemented,standards-track,broad,3
layout-ui,widows,widows,int,implemented,standards-track,broad,3
layout-ui,shapeOutside,shape-outside,string,implemented,standards-track,broad,circle(50%)
layout-ui,shapeMargin,shape-margin,CssValue.Length.t,implemented,standards-track,broad,1rem
layout-ui,shapeImageThreshold,shape-image-threshold,CssValue.Alpha.t,implemented,standards-track,broad,0.5
layout-ui,fieldSizing,field-sizing,CssValue.FieldSizing.t,implemented,standards-track,new,content
layout-ui,interpolateSize,interpolate-size,CssValue.InterpolateSize.t,implemented,standards-track,limited,allow-keywords
layout-ui,containIntrinsicSize,contain-intrinsic-size,string,implemented,standards-track,partial,auto 300px
layout-ui,containIntrinsicWidth,contain-intrinsic-width,CssValue.ContainIntrinsicAxis.t,implemented,standards-track,partial,auto 20rem
layout-ui,containIntrinsicHeight,contain-intrinsic-height,CssValue.ContainIntrinsicAxis.t,implemented,standards-track,partial,none
layout-ui,containIntrinsicBlockSize,contain-intrinsic-block-size,CssValue.ContainIntrinsicAxis.t,implemented,standards-track,partial,auto 24rem
layout-ui,containIntrinsicInlineSize,contain-intrinsic-inline-size,CssValue.ContainIntrinsicAxis.t,implemented,standards-track,partial,18rem
layout-ui,container,container,string,implemented,standards-track,broad,sidebar / inline-size
